[1580,WrappedArray([640,5.7868204], [1341,5.7727046], [5072,5.496954], [2441,5.4852257], [3254,5.360487], [5379,5.3576975], [1751,5.2752166], [283,5.260925], [2867,5.2539496], [41,5.2097774])]
[2343,WrappedArray([2160,2.7160385], [3222,2.7094233], [2339,2.6718743], [2441,2.6285257], [283,2.6244254], [5560,2.616982], [452,2.5814211], [5003,2.5585866], [3306,2.5512693], [128,2.5454807])]
[2653,WrappedArray([1394,11.7308655], [1083,10.358684], [5525,10.097987], [4399,9.97403], [4383,9.86203], [1914,9.771723], [3915,9.568886], [947,9.202761], [3667,8.882954], [430,8.779355])]
[2384,WrappedArray([1416,7.7235436], [3723,7.383511], [5328,7.140093], [527,6.9277163], [4383,6.5216317], [5588,6.368655], [745,6.341221], [2640,6.1973743], [2707,6.148305], [5914,5.932993])]
[2885,WrappedArray([4383,7.769276], [1914,7.180444], [3915,6.9985743], [2252,6.9447145], [364,6.9054775], [4358,6.683404], [4441,6.5035076], [1083,6.3519816], [5214,6.305989], [5145,6.175618])]
[1026,WrappedArray([5358,6.332645], [4863,6.285579], [2269,6.2626348], [693,6.2142015], [3870,6.2030935], [2433,6.1720057], [535,6.0927706], [1756,6.014018], [799,6.0044017], [3061,5.9216957])]
[57,WrappedArray([589,9.704408], [5642,9.471359], [2977,9.046577], [1394,8.899963], [2151,8.711861], [2640,8.655642], [2851,8.431236], [1596,8.402205], [2432,8.169226], [2277,8.16583])]
[868,WrappedArray([4583,3.6020644], [3222,3.5825658], [2821,3.541109], [283,3.533121], [5560,3.488803], [452,3.48043], [89,3.465544], [2449,3.4652739], [336,3.4188864], [2441,3.4178834])]
[3399,WrappedArray([2697,6.915858], [2138,6.850815], [5052,6.482786], [4565,6.443312], [6031,6.441886], [4201,6.412762], [1061,6.3407993], [1346,6.15833], [290,6.106488], [3627,6.065491])]
[3489,WrappedArray([5320,5.7418613], [1713,5.7008367], [4216,5.6190505], [421,5.6142097], [1145,5.604414], [4504,5.591348], [3480,5.4886193], [3222,5.4245586], [1659,5.414618], [805,5.4125085])]
[3699,WrappedArray([2549,5.4426994], [2640,5.264948], [653,5.246115], [5051,5.236616], [4850,5.205474], [4158,5.1900945], [3222,5.186287], [3552,5.1048865], [6027,5.093386], [4840,5.0555654])]
[3709,WrappedArray([5328,6.7257924], [5052,6.03753], [1070,5.6236954], [775,5.6051283], [4056,5.5494065], [1307,5.5008683], [5141,5.419422], [4158,5.2568035], [3722,5.2051096], [809,5.188072])]
[3871,WrappedArray([527,6.4518023], [3165,6.248018], [4175,5.998948], [1414,5.9678197], [799,5.9600825], [5078,5.9483194], [2274,5.9057493], [2269,5.902393], [3009,5.9005713], [4143,5.8448157])]
[2782,WrappedArray([3723,6.471417], [4264,6.4521604], [3165,6.402791], [5258,6.330443], [4549,6.1811166], [2697,6.1700544], [290,6.137779], [1346,6.1094327], [4273,5.9634743], [3009,5.919148])]
[3932,WrappedArray([3144,6.443751], [3165,6.1717286], [1414,5.9898186], [3870,5.9002504], [799,5.7922106], [3122,5.7309113], [2007,5.7086725], [527,5.6458826], [399,5.6249995], [3221,5.5948744])]
[1113,WrappedArray([3642,7.1493845], [1014,7.1264853], [2502,6.9277143], [1145,6.8531656], [4974,6.8219743], [1657,6.76873], [2151,6.748593], [4199,6.62134], [2549,6.5981135], [2364,6.4890947])]
[3613,WrappedArray([1341,7.948963], [341,7.5550795], [5202,7.2900023], [3273,7.0276675], [665,7.022189], [640,6.9597673], [4069,6.917045], [5243,6.7947264], [4974,6.7289157], [2821,6.707524])]
[2464,WrappedArray([2441,10.435151], [4745,7.998316], [153,7.883491], [1240,7.68257], [4936,7.40221], [6031,7.395609], [89,7.174514], [4383,7.0903945], [484,7.046218], [5849,6.8738065])]
[2694,WrappedArray([2441,6.1972694], [4427,5.848135], [4597,5.620675], [4282,5.568943], [2879,5.5595098], [5816,5.513306], [2138,5.488281], [1070,5.320376], [1319,5.3191037], [4504,5.3019767])]
[1615,WrappedArray([3222,7.5984325], [4850,7.1629944], [2821,6.952001], [775,6.775007], [4545,6.441559], [5756,6.437207], [4056,6.398493], [5863,6.3463964], [5760,6.3420734], [5867,6.293481])]
[2405,WrappedArray([3222,5.712076], [653,5.626437], [1713,5.4750733], [283,5.45174], [101,5.3637824], [4143,5.3470283], [3902,5.3433566], [5072,5.265009], [372,5.260408], [805,5.256607])]
[966,WrappedArray([2160,6.6778693], [2441,6.6361275], [3723,6.3492403], [89,6.090433], [158,6.0903883], [4844,6.020281], [5207,5.997566], [2884,5.9628534], [1485,5.951176], [5258,5.905369])]
[2666,WrappedArray([4355,5.820695], [2075,5.797315], [5693,5.7502794], [3009,5.662029], [4751,5.5905914], [3137,5.5645185], [3395,5.5507135], [1061,5.5427403], [5052,5.522872], [4256,5.4956875])]
[647,WrappedArray([3222,5.424926], [283,5.3015246], [89,5.176349], [5560,5.087901], [1596,5.0565224], [5863,5.048787], [2339,5.045052], [3723,5.0269065], [775,5.023212], [213,5.008603])]
[1968,WrappedArray([1394,6.2553277], [3034,5.9534454], [5525,5.9347773], [5642,5.929126], [2151,5.841324], [1384,5.784525], [228,5.774996], [153,5.7690663], [4383,5.7311544], [2432,5.7230663])]
[1251,WrappedArray([2920,8.205076], [4751,8.112541], [3144,8.100314], [2640,7.683439], [3714,7.589014], [1515,7.4897614], [345,7.286079], [650,7.1927996], [4383,7.1093554], [1662,6.975572])]
[2651,WrappedArray([4383,9.605614], [1394,7.3036404], [290,7.14151], [1327,7.0044055], [3870,6.951786], [430,6.936719], [1148,6.823066], [4267,6.688409], [5784,6.6713815], [1719,6.6102915])]
[292,WrappedArray([3222,5.41939], [775,5.3578625], [3902,5.24269], [283,5.240557], [4583,5.212022], [4801,5.1769905], [89,5.131999], [2286,5.104966], [4143,5.099877], [101,5.092059])]
[3012,WrappedArray([1445,7.569336], [5328,7.294823], [870,6.9990225], [1098,6.860346], [1535,6.502127], [5245,6.401236], [3076,6.3032265], [1452,6.2130704], [5597,6.176814], [1864,6.063334])]
[923,WrappedArray([3144,7.532887], [2640,7.1836433], [4751,6.7828946], [2269,6.710305], [2930,6.5787125], [1515,6.536983], [3870,6.488696], [1414,6.3244843], [2920,6.2595553], [399,6.2498746])]
[944,WrappedArray([2640,9.705543], [4751,9.104168], [3714,8.148172], [3144,8.065673], [5027,8.055237], [2151,8.051784], [2819,7.9301476], [821,7.574038], [2191,7.509612], [144,7.4586024])]
[3324,WrappedArray([4056,7.155414], [540,6.984761], [3222,6.922557], [5297,6.8207664], [407,6.6502123], [1445,6.6269617], [3076,6.497405], [606,6.4904585], [5637,6.4856105], [5756,6.4745574])]
[1355,WrappedArray([2763,9.173631], [87,8.325574], [2441,8.27965], [5816,8.057574], [5697,7.7879004], [66,7.767758], [6031,7.3735566], [3366,7.2128186], [4008,7.1581993], [4119,7.143865])]
[306,WrappedArray([2640,8.307517], [4441,7.305592], [2673,7.2089043], [1341,6.9615602], [3714,6.9131613], [1515,6.8801594], [3144,6.758072], [4751,6.65257], [1967,6.630326], [5202,6.600416])]
[3506,WrappedArray([4358,5.6359715], [3373,5.573972], [5760,5.552411], [5204,5.4498625], [4325,5.4153724], [3870,5.3938518], [3723,5.3874817], [6027,5.3168087], [2252,5.3089147], [158,5.293041])]
[1517,WrappedArray([1327,7.9106607], [947,7.654139], [2879,7.1607666], [4358,7.0244856], [4383,6.722808], [614,6.6407137], [741,6.633386], [751,6.125209], [3009,6.0664873], [5816,6.0325217])]
[2177,WrappedArray([527,6.6858206], [2640,6.476532], [5588,6.460059], [1277,6.457574], [4751,6.1484947], [5075,6.0741463], [2037,6.0353284], [2851,5.928349], [1596,5.7775598], [3714,5.7693944])]
[3388,WrappedArray([5328,5.8792915], [2364,5.6517215], [4264,5.564292], [1282,5.388169], [5783,5.3658857], [101,5.2254295], [4068,5.022151], [3480,5.013793], [3222,4.99711], [2697,4.99228])]
[339,WrappedArray([2364,6.097048], [2441,6.0598803], [668,5.742912], [1213,5.725371], [41,5.718405], [1145,5.7138042], [1282,5.700422], [1657,5.592967], [2502,5.58466], [5072,5.3616257])]
[919,WrappedArray([2640,6.4574227], [2269,6.3648405], [3870,6.2934484], [1341,6.1965795], [693,6.1508174], [799,5.892883], [2253,5.889197], [3552,5.8278327], [144,5.786792], [4175,5.7149925])]
[1069,WrappedArray([3144,7.3300223], [4383,6.5249944], [3870,6.4729004], [2920,6.4560018], [4751,6.4471316], [2640,6.44632], [2252,6.12327], [399,6.09744], [650,6.0550475], [1414,6.0086803])]
[3269,WrappedArray([1914,5.75342], [3222,5.7215304], [5328,5.630636], [653,5.61731], [5525,5.486001], [5160,5.42744], [2358,5.4184246], [5642,5.3985825], [589,5.386212], [2400,5.3485813])]
[3649,WrappedArray([5328,7.349014], [1416,7.0423374], [745,6.7995815], [3723,6.4612308], [4158,6.204731], [589,5.78186], [1914,5.5590515], [775,5.5503774], [4424,5.538943], [2339,5.5284443])]
[120,WrappedArray([2441,4.762587], [2160,4.045199], [3870,4.0393896], [89,4.006883], [4936,3.9908223], [4583,3.945059], [1732,3.912463], [3738,3.9085112], [5560,3.9081464], [640,3.8708854])]
[3730,WrappedArray([5202,7.1242805], [1341,6.992994], [2549,6.928367], [3703,6.6707325], [3714,6.4189897], [341,6.409827], [4069,6.3744535], [665,6.3393984], [1989,6.3326225], [5133,6.1873198])]
[3810,WrappedArray([653,6.071848], [2884,5.9954586], [775,5.90475], [5328,5.8181086], [2297,5.807602], [3549,5.788658], [283,5.592265], [1596,5.5836425], [3222,5.4904723], [5560,5.4896703])]
[2232,WrappedArray([745,7.012546], [527,6.9987726], [2037,6.881976], [5141,6.851051], [5588,6.7642865], [1532,6.6824026], [378,6.628414], [4166,6.5205145], [1277,6.472354], [784,6.4649878])]
[54,WrappedArray([3480,7.926657], [3222,7.4300475], [5856,7.1876216], [5328,7.145519], [4974,7.0417924], [5642,6.844279], [913,6.6412163], [1754,6.493644], [5804,6.2628164], [488,6.197469])]
[2014,WrappedArray([5328,7.983779], [1083,6.713317], [5783,6.572918], [3480,6.551197], [2902,6.500757], [3723,6.4962325], [1416,6.4711456], [4264,6.4469614], [3667,6.3202453], [2204,6.3202257])]
[1917,WrappedArray([1309,6.6137915], [4597,6.0122623], [2992,5.972818], [4583,5.9445367], [2449,5.7643476], [1198,5.70617], [3222,5.6935115], [210,5.66614], [2160,5.6208844], [448,5.5282164])]
[3757,WrappedArray([4383,10.476182], [1394,10.379938], [5004,9.3092985], [5525,9.129383], [5588,8.549061], [4399,8.514089], [2252,8.477554], [1083,8.474261], [947,8.311616], [1914,8.246508])]
[3827,WrappedArray([2697,5.5005927], [642,5.222382], [3456,5.1882176], [6027,5.0709248], [3222,5.0393834], [4850,5.002769], [5560,4.990794], [5051,4.987182], [606,4.9463286], [5697,4.9386897])]
[1028,WrappedArray([3870,6.5809116], [2441,6.3673244], [799,6.2396746], [4383,6.1145673], [527,6.109093], [1081,5.962739], [4504,5.9279943], [693,5.917117], [3552,5.8473034], [1213,5.825177])]
[3858,WrappedArray([206,7.746171], [784,7.627217], [5597,7.562845], [5814,7.1888514], [378,6.951707], [1840,6.658535], [1277,6.595852], [5803,6.4968967], [5849,6.4187546], [2582,6.4142647])]
[559,WrappedArray([2037,7.5416408], [745,7.5391192], [5588,7.3507366], [2134,7.018545], [5290,6.9554873], [4424,6.93427], [3714,6.859179], [2851,6.809224], [1385,6.8078814], [1102,6.781655])]
[969,WrappedArray([2640,7.321002], [2269,6.432399], [2549,6.246974], [4,6.179295], [144,6.172172], [3144,6.133159], [1414,6.064151], [3870,6.0275297], [799,5.978748], [2253,5.8871756])]
[1499,WrappedArray([2697,5.4008026], [5052,5.3269634], [1070,5.1595287], [979,4.9638324], [6031,4.556522], [4583,4.516108], [3286,4.5053535], [6027,4.50099], [1830,4.4982643], [3375,4.4979334])]
[2779,WrappedArray([2549,5.4431105], [3222,5.3510556], [5476,5.1179223], [2339,5.0374355], [128,5.0338507], [6027,4.970864], [5756,4.970311], [407,4.953197], [2821,4.93216], [878,4.905291])]
[3309,WrappedArray([2640,12.518807], [527,11.548603], [4751,10.779075], [1829,10.4294195], [3714,10.232692], [5078,10.197986], [5588,10.187402], [4672,9.835502], [3258,9.650474], [1416,9.600331])]
[2640,WrappedArray([3222,5.860441], [407,5.6331754], [3009,5.481918], [488,5.36813], [3177,5.341733], [4012,5.3017015], [1541,5.2785068], [2510,5.2550335], [3379,5.2129393], [215,5.192858])]
[491,WrappedArray([89,6.439232], [3222,6.4130673], [1596,6.202069], [1416,6.0392213], [5863,5.9521737], [2449,5.9503374], [213,5.9409986], [2329,5.927004], [5611,5.8790092], [2392,5.8435636])]
[1191,WrappedArray([5328,8.707805], [2707,6.919565], [4707,6.8527327], [1596,6.5612288], [745,6.4858265], [4398,6.1618686], [5597,6.148991], [43,6.10402], [423,6.040347], [1416,5.9955163])]
[2223,WrappedArray([1907,5.4549184], [1341,5.3598347], [417,5.2285137], [2713,5.1518345], [5320,5.146531], [2269,5.0998707], [211,4.973334], [5584,4.9243994], [3273,4.740782], [2845,4.7255087])]
[2613,WrappedArray([3723,4.8417897], [3165,4.6412063], [283,4.577901], [4549,4.5319924], [2697,4.490282], [399,4.451913], [3405,4.4428067], [775,4.413235], [2694,4.4100904], [3009,4.364429])]
[3833,WrappedArray([4358,8.260725], [4703,7.880702], [745,7.801071], [5328,7.465349], [614,7.3330984], [1864,7.2130003], [4549,6.857105], [1346,6.8322363], [4392,6.826911], [3722,6.7964635])]
[634,WrappedArray([3870,1.4815663], [128,1.3823748], [1520,1.3783873], [5560,1.3745924], [2160,1.3676223], [2821,1.367464], [2269,1.355325], [3204,1.3480123], [1417,1.3478705], [5399,1.3346986])]
[3534,WrappedArray([2441,5.349433], [89,4.9449964], [3141,4.735553], [1485,4.728208], [4660,4.624337], [5258,4.5738363], [283,4.5676446], [2884,4.56058], [3723,4.5399656], [2311,4.498038])]
[1665,WrappedArray([2138,6.284799], [1394,6.197925], [2373,6.195248], [2713,6.0530286], [5400,5.9085946], [572,5.749169], [3915,5.720921], [46,5.6410923], [430,5.5931816], [866,5.5162144])]
[2245,WrappedArray([3222,6.464539], [5328,6.1921644], [775,5.8719373], [5756,5.814699], [2339,5.5638375], [283,5.454812], [1307,5.4216323], [128,5.376916], [5863,5.3639827], [6027,5.3516116])]
[2485,WrappedArray([2441,5.579995], [2364,5.4580812], [606,5.059806], [5606,4.904318], [4778,4.8598986], [1282,4.8472686], [4068,4.817029], [668,4.794428], [3141,4.7550545], [4441,4.731255])]
[3726,WrappedArray([4703,8.891487], [3723,8.054429], [3149,7.6902394], [5004,7.576126], [3322,7.5579896], [708,7.5174236], [4392,7.4695888], [5525,7.4554434], [4997,7.332544], [4807,7.1548786])]
[2618,WrappedArray([5243,11.440771], [1596,11.29172], [4996,10.826847], [5642,10.53248], [4974,10.46731], [1341,9.882304], [762,9.7890625], [68,9.656626], [540,9.638243], [4191,9.614867])]
[3049,WrappedArray([1083,8.024898], [2549,7.710242], [2902,7.6150002], [3373,7.13239], [3552,7.0536995], [1652,7.00451], [3009,6.9386716], [1914,6.839792], [693,6.826382], [5681,6.8055334])]
[3759,WrappedArray([527,9.3236685], [4143,8.40927], [800,8.178908], [2713,8.031569], [1713,7.9859385], [3061,7.730678], [5783,7.616444], [2274,7.5338783], [3480,7.4356265], [5199,7.378871])]
[3350,WrappedArray([2549,6.767047], [4,6.698652], [2432,6.5847836], [1914,6.4703217], [2151,6.3746934], [2977,6.1444554], [2821,6.0669885], [365,6.005461], [794,5.9883056], [3674,5.960858])]
[1551,WrappedArray([3222,8.217791], [3480,7.96958], [5856,7.3513756], [5258,7.35021], [4392,7.251177], [4844,6.8387966], [5328,6.561092], [2160,6.222778], [5863,6.13647], [5756,6.125675])]
[1701,WrappedArray([589,7.255739], [1914,6.8122993], [1416,6.560308], [1754,6.388345], [491,6.352426], [2549,6.322998], [745,6.281351], [2297,6.2245297], [5328,6.2202], [4325,6.172636])]
[1951,WrappedArray([5358,7.033499], [3870,6.983465], [3165,6.456345], [1541,6.36923], [407,6.2943277], [5681,6.281707], [4012,6.233514], [3204,6.2179103], [2510,6.1488543], [2697,6.1273236])]
[2412,WrappedArray([5328,6.051625], [775,5.464217], [3375,5.427108], [1754,5.326636], [1309,5.2777967], [5525,5.236917], [1070,5.2291803], [3915,5.172946], [2735,5.102227], [3222,5.047911])]
[3232,WrappedArray([3144,6.920768], [2930,6.4420285], [3870,6.3734245], [2640,6.3533607], [2269,6.279021], [1411,6.2216744], [4,6.0788565], [5133,6.017185], [1515,5.921877], [1428,5.890248])]
[3473,WrappedArray([5849,9.489352], [1277,8.85733], [3570,8.813063], [1098,8.417006], [1412,8.342108], [527,8.325102], [1445,8.23667], [2797,8.160653], [68,8.061352], [6022,8.030183])]
[3034,WrappedArray([527,7.819966], [3480,6.8565555], [5258,6.7975564], [89,6.461339], [378,6.4513297], [5199,6.35504], [4936,6.3492055], [3723,6.2099037], [3235,6.2044797], [1332,6.1566763])]
[3084,WrappedArray([3009,3.7399564], [5416,3.4862826], [1341,3.4396615], [3870,3.43663], [2467,3.4329693], [527,3.4314725], [1414,3.3970752], [2694,3.390643], [681,3.3821359], [3165,3.3772244])]
[235,WrappedArray([947,6.625742], [112,6.4990873], [1445,6.175683], [3009,6.0477533], [1083,6.037833], [269,6.034522], [870,6.0199456], [2467,5.912534], [2134,5.8443284], [882,5.8367248])]
[545,WrappedArray([2441,2.994061], [2930,2.974829], [5133,2.808253], [1341,2.790558], [3870,2.7762375], [3144,2.775761], [1662,2.7468326], [2044,2.716988], [4641,2.7025316], [1327,2.7013803])]
[1605,WrappedArray([745,7.2206054], [4392,6.717306], [4703,6.628703], [1416,6.4071903], [5328,6.3962917], [89,6.366887], [3723,6.255045], [353,6.247994], [2884,6.110028], [775,6.0981255])]
[96,WrappedArray([745,15.509307], [1416,14.795022], [5328,14.613717], [3723,13.877874], [1102,12.34512], [4392,12.080222], [4844,10.839973], [5588,10.835579], [4358,10.67225], [4707,10.40127])]
[776,WrappedArray([947,9.276371], [3009,9.056809], [1907,9.042592], [112,8.822668], [741,8.786903], [3911,8.691336], [2434,8.680828], [5247,8.59266], [2274,8.427774], [2855,8.171159])]
[846,WrappedArray([1596,11.683049], [653,10.334288], [540,10.194123], [1341,10.113336], [5642,10.0012865], [4441,9.901994], [41,9.773557], [2673,9.664906], [700,9.640636], [4974,9.562964])]
[2646,WrappedArray([4383,11.37183], [1394,10.168776], [5525,8.518042], [430,8.405909], [4399,8.169239], [1083,7.7803664], [2385,7.7512636], [3667,7.684009], [3915,7.573457], [947,7.5459185])]
[840,WrappedArray([1596,9.877751], [3222,9.576186], [5642,9.343006], [3480,9.240557], [5328,9.014338], [5856,8.626463], [5804,8.310119], [4974,8.197041], [1145,8.1580515], [540,7.9152966])]
[3001,WrappedArray([87,4.517879], [2992,4.4208217], [5297,4.2593513], [540,4.199173], [4583,4.170674], [5274,4.137503], [484,4.125626], [2884,4.092641], [4660,3.9738402], [4597,3.9135444])]
[452,WrappedArray([1596,8.063499], [1277,7.9280744], [3573,7.893762], [2851,7.1364546], [153,7.072546], [2037,7.0530605], [5467,6.989887], [4745,6.9267874], [4996,6.90653], [4166,6.607258])]
[732,WrappedArray([5642,8.375957], [4441,8.130586], [41,8.020686], [1596,8.010679], [4199,7.7372594], [1657,7.3259964], [2673,7.2726436], [2441,7.106951], [1653,7.058759], [2560,6.888533])]
[1032,WrappedArray([3009,6.1865625], [2902,5.9026203], [3480,5.777769], [1541,5.6460876], [3723,5.6377416], [882,5.6318893], [1083,5.6106567], [878,5.597387], [269,5.59291], [5258,5.5606976])]
[3632,WrappedArray([1445,11.08589], [4358,10.945343], [407,10.327292], [2813,9.49725], [5635,9.238188], [870,8.966252], [745,8.767832], [269,8.51774], [3379,8.507835], [5328,8.414807])]
[3702,WrappedArray([5867,5.758563], [3440,5.4117064], [3165,5.4007993], [4583,5.384704], [640,5.300976], [128,5.279753], [2452,5.223711], [3703,5.1843266], [3222,5.1613317], [5381,5.149862])]
[3663,WrappedArray([153,6.5350647], [4894,6.4495196], [3522,6.0635867], [1070,5.8845005], [2713,5.779644], [4751,5.7076397], [2357,5.6655035], [1198,5.62729], [1582,5.597508], [5290,5.557006])]
[3683,WrappedArray([2920,6.159656], [3144,5.970496], [5407,5.778942], [2134,5.7040653], [1515,5.695282], [345,5.568499], [870,5.536652], [1459,5.4929004], [2640,5.4603853], [2159,5.431742])]
[1464,WrappedArray([5243,8.628152], [4996,8.220401], [665,8.008055], [5141,7.7835727], [1385,7.702657], [3714,7.58096], [3273,7.283279], [2851,7.21568], [3844,7.178962], [4256,7.1054573])]
[2535,WrappedArray([89,8.778612], [527,8.128593], [745,7.83828], [206,7.7146025], [378,7.6893177], [4392,7.660951], [3723,7.4990244], [1102,7.3180013], [4703,7.1815405], [4936,7.108156])]
[3075,WrappedArray([1098,7.242679], [1445,6.8892713], [3144,6.8171754], [1535,6.584255], [642,6.5339494], [3703,6.483396], [1936,6.4728107], [870,6.291318], [5067,6.1904063], [108,6.187248])]
[1167,WrappedArray([2364,6.000711], [4565,5.993411], [653,5.9897385], [5051,5.952381], [572,5.9405036], [3915,5.910107], [2138,5.8984084], [2502,5.888653], [2640,5.8669434], [2558,5.8539815])]
[2447,WrappedArray([2441,5.957136], [4597,5.625215], [4427,5.514677], [540,5.479586], [2992,5.4487834], [1319,5.387996], [4660,5.3509645], [210,5.3255663], [5274,5.2596207], [87,5.174561])]
[2477,WrappedArray([290,6.4439793], [3165,6.2511344], [89,6.125815], [6031,6.0929127], [2697,5.878274], [4264,5.8260818], [3571,5.743378], [5258,5.505274], [3979,5.453333], [4549,5.368404])]
[3027,WrappedArray([3149,1.3918085], [1341,1.3915409], [4,1.3873646], [1475,1.3687915], [4317,1.35913], [3463,1.3577653], [3926,1.3470494], [2977,1.3407195], [4074,1.3294808], [4820,1.3263805])]
[1518,WrappedArray([2697,6.338794], [3144,5.9965158], [5052,5.952263], [399,5.896201], [3549,5.7980175], [4158,5.7138157], [979,5.687234], [775,5.6141453], [4549,5.595033], [6027,5.574465])]
[3458,WrappedArray([2441,3.9902236], [2160,3.6809394], [640,3.5667021], [4583,3.4531615], [452,3.415887], [283,3.369129], [815,3.368317], [210,3.365936], [3820,3.3600981], [2954,3.350702])]
[1029,WrappedArray([2902,6.589645], [3480,6.455667], [3009,6.3211007], [1083,6.161074], [693,6.1006546], [527,6.00171], [128,5.962071], [3723,5.9441013], [3222,5.877906], [3552,5.828486])]
[650,WrappedArray([2640,7.923216], [653,7.5226874], [1596,7.3178053], [2851,7.2544856], [4745,6.796644], [144,6.714807], [668,6.6566386], [4441,6.5778127], [2673,6.521589], [4723,6.4603577])]
[1930,WrappedArray([4974,17.514685], [1083,16.215979], [3480,15.293084], [913,15.243438], [5856,14.522716], [5991,14.3970785], [2902,14.033359], [1226,14.020938], [4657,13.601329], [2502,13.520461])]
[2740,WrappedArray([4383,9.171689], [4703,8.83341], [2252,8.5721445], [4419,8.533313], [5919,8.357992], [1102,8.086204], [5525,8.014431], [1664,7.8391895], [89,7.228555], [3144,7.0784917])]
[1811,WrappedArray([5328,9.05946], [3723,8.054499], [4264,8.001341], [2278,7.94607], [1416,7.6309347], [5119,7.6138234], [5258,7.524362], [992,7.352148], [1111,7.3308887], [4938,7.244403])]
[2602,WrappedArray([1445,14.175377], [4056,11.131998], [3570,11.002671], [1098,10.845682], [5089,10.153143], [3548,10.066403], [2813,9.348388], [2893,9.338738], [2612,9.312225], [5010,9.304588])]
[2203,WrappedArray([4383,7.997377], [2640,7.9208026], [4751,7.52188], [2269,7.070676], [3144,7.0160255], [2138,6.9626613], [4565,6.8385906], [1253,6.838389], [430,6.705268], [2151,6.6362934])]
[2803,WrappedArray([89,6.408126], [2884,6.2536235], [3222,5.9531465], [775,5.8768826], [158,5.8060083], [5560,5.7963295], [4844,5.777588], [1416,5.641636], [3723,5.5852714], [5863,5.5759172])]
[544,WrappedArray([3222,6.7022767], [775,6.554125], [5328,6.397091], [4844,6.0293026], [4392,5.884955], [4703,5.766716], [158,5.7081366], [3375,5.6493006], [5297,5.637249], [3549,5.6159277])]
[3364,WrappedArray([3144,6.5463853], [2930,6.4066777], [2269,6.3743887], [3870,6.293809], [559,6.0885997], [675,6.028262], [4236,5.84041], [5133,5.836294], [1414,5.8225946], [650,5.814172])]
[3894,WrappedArray([1416,11.246928], [589,9.306515], [3723,9.100842], [4392,9.0382395], [3480,8.816297], [527,8.785135], [745,8.779068], [2977,8.624419], [5901,8.522047], [1971,8.27717])]
[1835,WrappedArray([2449,6.6347876], [1596,6.6020603], [5642,6.3406105], [1309,6.3112354], [2821,6.2938433], [4400,6.2019644], [2534,6.187036], [210,6.1507926], [1198,6.0994844], [4597,6.0469217])]
[2375,WrappedArray([5328,6.1866164], [4801,5.4939365], [283,5.487471], [553,5.441288], [1713,5.3210955], [5052,5.3156624], [4166,5.239059], [2155,5.2203727], [153,5.2031703], [5525,5.1951194])]
[266,WrappedArray([4392,7.2853293], [3723,7.235409], [89,6.9638886], [353,6.8261366], [4844,6.8050184], [4936,6.6570063], [1971,6.57012], [3480,6.5678506], [1557,6.324381], [5258,6.286027])]
[507,WrappedArray([5141,5.487446], [2452,5.4301395], [4056,5.3907843], [5867,5.336366], [353,5.277529], [4135,5.2762246], [3440,5.2199516], [2134,5.2169566], [1307,5.215183], [745,5.1944385])]
[48,WrappedArray([3480,5.8178244], [3222,5.5850196], [1416,5.5401416], [5856,5.418642], [2358,5.3675566], [2392,5.244054], [4844,5.2220006], [3723,5.199601], [4941,5.1565604], [2432,5.150977])]
[2458,WrappedArray([5328,5.136647], [4583,4.947125], [89,4.9324446], [4392,4.907686], [553,4.8497143], [527,4.848316], [3723,4.840896], [6031,4.8301296], [4201,4.769144], [745,4.724849])]
[1360,WrappedArray([4997,8.304444], [5052,8.24025], [5141,7.991001], [5004,7.9378343], [3009,7.79523], [4158,7.7592797], [1385,7.728893], [4191,7.708797], [3587,7.6868668], [283,7.62591])]
[191,WrappedArray([5328,9.145388], [3222,7.4014435], [1416,7.172411], [1596,7.1148043], [653,7.055281], [5756,7.004692], [423,6.6352997], [5642,6.6234684], [540,6.553714], [589,6.5426335])]
[1341,WrappedArray([89,9.256449], [1102,8.640947], [3723,8.324485], [206,8.181989], [745,7.9945974], [4936,7.9879627], [4549,7.977736], [5588,7.948404], [4703,7.8913474], [3165,7.736317])]
[1711,WrappedArray([1596,7.74437], [3222,7.0969605], [5756,7.0016074], [540,6.6136117], [4996,6.465757], [5863,6.4567685], [4056,6.3986626], [353,6.259367], [5901,6.245348], [4669,6.050495])]
[163,WrappedArray([640,5.5585713], [4074,5.346387], [1341,5.3014226], [1673,5.180752], [395,5.178741], [2867,5.1406517], [3772,5.1190176], [4912,5.112824], [809,5.0780554], [2195,5.0536656])]
[5,WrappedArray([4264,6.1955123], [4844,5.824576], [89,5.793789], [5328,5.7863173], [2364,5.7808266], [3723,5.732492], [5783,5.6393294], [3480,5.593768], [775,5.5871315], [101,5.56024])]
[1855,WrappedArray([5328,6.470482], [1070,5.93885], [785,5.9209237], [3141,5.910068], [606,5.9008107], [2364,5.897467], [5597,5.666757], [423,5.391693], [614,5.389853], [4630,5.360541])]
[2985,WrappedArray([5052,5.370803], [2434,5.3617535], [3009,5.190215], [2697,5.1249714], [5867,4.9487596], [3870,4.945316], [5760,4.892948], [2855,4.883669], [1856,4.8755007], [3818,4.8392754])]
[3135,WrappedArray([2252,7.2085133], [5004,6.9511895], [3723,6.9418077], [4,6.8090315], [3373,6.8040857], [1914,6.7497883], [364,6.6834555], [1416,6.6817827], [5919,6.657109], [1414,6.462119])]
